"ID","ACTION_PLAN_PRODUCT_NAME__C","PRODUCT_NAME__C"
"a3N20000000019XEAQ","IDFC Premier Equity/BSL Dividend Yield Plus","IDFC Premier Equity Fund - Plan A"
"a3N20000000019YEAQ","Bajaj Allianz Critical Illness Cover","Bajaj Allianz Critical Illness Cover"
"a3N20000000019ZEAQ","Bajaj Allianz HealthGuard","Bajaj Allianz Health Guard"
"a3N20000000019aEAA","Bajaj Allianz Extracare","Bajaj Allianz Extra Care"
"a3N20000000019bEAA","Fixed Deposit","Fixed Deposit"
"a3N20000000019cEAA","Kotak Gold","Kotak Gold"
"a3N20000000019dEAA","DSP BR Top 100 Fund DDR","DSP BlackRock Top 100 Equity Fund"
"a3N20000000019eEAA","Templeton India Equity Fund DDR","Templeton India Equity Income Fund"
"a3N20000000019fEAA","IDFC Money Manager Treasury Plan A","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000019gEAA","Canara Robeco Equity Diversified","Canara Robeco Equity Diversified Regular"
"a3N20000000019hEAA","HDFC Mid-Cap Opportunities","HDFC Mid-Cap Opportunities Fund"
"a3N20000000019iEAA","Canara Robeco Eqt Diversified","Canara Robeco Equity Diversified Regular"
"a3N20000000019jEAA","ICICI Lombard Critical Care Policy","ICICI Critical Care"
"a3N20000000019kEAA","ICICI Lombard Health Care Policy","ICICI Lombard Health Protect Plus"
"a3N20000000019lEAA","ICICI Personal Protect Policy","ICICI Lombard Personal Accident Cover"
"a3N20000000019mEAA","BNP Pariba Equity","BNP Paribas Equity"
"a3N20000000019nEAA","Pramerica Short Tern Income","Pramerica Short Term Income Fund"
"a3N20000000019TEAQ","DSP Top 100 Equity Fund (G) [Folio:2424238/55]","DSP BlackRock Top 100 Equity Fund"
"a3N20000000019oEAA","Birla SL Mid Cap","Birla Sun Life MidCap Fund"
"a3N20000000019pEAA","Reliance My Gold Plan","Reliance Gold Savings Fund"
"a3N20000000019qEAA","Franklin India Prima Plus Fund","Franklin India Prima Fund"
"a3N20000000019rEAA","BSL Div Yield Fund","Birla Sun Life Dividend Yield Plus"
"a3N20000000019sEAA","Canara, SBI","Canara Robeco Equity Diversified Regular"
"a3N20000000019tEAA","DSP Equity Fund - G [Folio:2782446/94]","DSP BlackRock Equity Fund"
"a3N20000000019uEAA","HDFC Top 200 - G [Folio:8581251/47]","HDFC Top 200 Fund"
"a3N20000000019vEAA","BSL Dynamic Fund - G [Folio:1016034708]","Birla Sun Life Dynamic Bond Fund"
"a3N20000000019wEAA","ICICI Focused Bluechip Reg - Gr","ICICI Blue Chip Fund Growth"
"a3N20000000019xEAA","Birl SL Savings","Birla Sun Life Savings Fund"
"a3N20000000019yEAA","HDFC Equity Fund Gr Folio: 7861617/20","HDFC Equity Fund"
"a3N20000000019zEAA","HDFC Mid cap Oppr Fund Gr Folio:8716791/51","HDFC Mid-Cap Opportunities Fund"
"a3N2000000001A0EAI","DSP Top 100 Equity Fund Gr Folio:2063846/69","DSP BlackRock Top 100 Equity Fund"
"a3N2000000001A1EAI","HDFC Equity Fund Gr Folio:6578510/90","HDFC Equity Fund"
"a3N2000000001A2EAI","HDFC Equity Fund Gr Folio:6823179/82","HDFC Equity Fund"
"a3N2000000001A3EAI","HDFC Mid cap Oppr Fund","HDFC Mid-Cap Opportunities Fund"
"a3N2000000001A4EAI","HDFC Mid cap Oppr Fund Gr Folio:7859325/09","HDFC Mid-Cap Opportunities Fund"
"a3N2000000001A5EAI","DSP Top 100 Equity Fund Gr Folio:2503784/37","DSP BlackRock Top 100 Equity Fund"
"a3N20000000011QEAQ","Franklin India Prima Fund","Franklin India Prima Fund"
"a3N20000000011REAQ","HDFC Top 200 Dividend","HDFC Top 200 Fund"
"a3N20000000011SEAQ","Franklin India Blue Chip Fund Dividend","Franklin India Bluechip Fund"
"a3N20000000011TEAQ","Axis Treasury Advantage Fund","Axis Treasury Advantage Fund"
"a3N20000000011UEAQ","BLS Dynamic Bond Fund","Birla Sun Life Dynamic Bond Fund"
"a3N20000000011VEAQ","Franklin India Blue Chip","Franklin India Bluechip Fund"
"a3N20000000011WEAQ","Franklin India Blue Chip Equity","Franklin India Bluechip Fund"
"a3N20000000011XEAQ","Franklin India Prima","Franklin India Prima Fund"
"a3N20000000011YEAQ","HDFC Liquid Fund DDR","HDFC Liquid Fund"
"a3N20000000011ZEAQ","DSP MM G","DSP BlackRock Money Manager Fund"
"a3N20000000011aEAA","HDFC Cash Mgmt Treasury Advtg D","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000011bEAA","Templeton India Treasury Mgmt D","Templeton India Treasury Management Account - Regular Plan"
"a3N20000000011cEAA","Reliance Liquid Fund","Reliance Liquid Fund - Cash Plan"
"a3N20000000011dEAA","DSP BR Equity Fund","DSP BlackRock Equity Fund"
"a3N20000000011eEAA","Pramerica Equity Fund","Pramerica Equity Fund"
"a3N20000000011fEAA","BSL Frontline Equity Fund","Birla Sun Life Frontline Equity Fund"
"a3N20000000011gEAA","Pramerica Short Term Income Fund","Pramerica Short Term Income Fund"
