"Id","Entity__c","Entity_Name__c","Type__c","Executed_Product_Name__c"
"a0lw0000008sevaAAA","","00120000011D6AjAAK","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevbAAA","","00120000011D6AjAAK","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008sevcAAA","","00120000011D6AjAAK","SIP","Pramerica Equity Fund"
"a0lw0000008sevdAAA","","00120000011D6AjAAK","SIP","Birla Sun Life Frontline Equity Fund"
"a0lw0000008seveAAA","","00120000011D6AjAAK","SIP","Axis Triple Advantage Fund"
"a0lw0000008sevfAAA","","00120000011D6AjAAK","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shgzAAA","","0012000000js6ucAAA","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shh0AAA","","0012000000js6ucAAA","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shh1AAA","","0012000000js6ucAAA","SIP","HDFC Top 200 Fund"
"a0lw0000008shh2AAA","","0012000000js6ucAAA","SIP","UTI Opportunities"
"a0lw0000008shh3AAA","","0012000000js6ucAAA","SIP","Axis Equity Fund"
"a0lw0000008shh4AAA","","0012000000js6ucAAA","SIP","IDFC Premier Equity Fund - Plan A"
"a0lw0000008shh5AAA","","0012000000js6ucAAA","SIP","ICICI Prudential Short Term"
"a0lw0000008shh6AAA","","0012000000js6ucAAA","Lumpsum","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shh7AAA","","0012000000js6ucAAA","Lumpsum","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008shh8AAA","","0012000000js6ucAAA","Lumpsum","ICICI Prudential Short Term"
"a0lw0000008shh9AAA","","0012000000js6ucAAA","Lumpsum","HDFC Top 200 Fund"
"a0lw0000008shhAAAQ","","0012000000js6ucAAA","Lumpsum","ICICI Dynamic Plan"
"a0lw0000008shhBAAQ","","0012000000js6ucAAA","Lumpsum","IDFC Premier Equity Fund - Plan A"
"a0lw0000008shhCAAQ","","0012000000js6ucAAA","Lumpsum","Savings Account"
"a0lw0000008shhDAAQ","","0012000000js6ucAAA","Lumpsum","IDFC Money Manager Fund - Treasury Plan A"
"a0lw0000008shhEAAQ","","0012000000js6ucAAA","Lumpsum","IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]"
"a0lw0000008shhFAAQ","","0012000000js6ucAAA","SIP","IDFC - Premier Equity Fund Reg (G) [Folio:1286737/01]"
"a0lw0000008shhGAAQ","","0012000000js6ucAAA","Lumpsum","IDFC Money Manager Fund - Treasury Plan A"
