"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0lw0000008seluAAA","00120000012CbhUAAS","IDFC Equity Fund Plan A- G","a31w00000001xDtAAI",""
"a0lw0000008sem0AAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xDnAAI",""
"a0lw0000008sem1AAA","00120000012CbhUAAS","BSL Dynamic","a31w00000001xDmAAI",""
"a0lw0000008sem2AAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xDlAAI",""
"a0lw0000008sem3AAA","00120000012CbhUAAS","HDFC Equity Fund- G","a31w00000001xDkAAI",""
"a0lw0000008sem4AAA","00120000012CbhUAAS","HDFC Top 200 Fund-G","a31w00000001xDjAAI",""
"a0lw0000008sem5AAA","00120000012CbhUAAS","ICICI Prudential Dynamic Plan - G","a31w00000001xDiAAI",""
"a0lw0000008sem6AAA","00120000012CbhUAAS","Reliance Growth Fund - G","a31w00000001xDhAAI",""
"a0lw0000008sem7AAA","00120000012CbhUAAS","Pramerica Equity","a31w00000001xDgAAI",""
"a0lw0000008sem8AAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xDfAAI",""
"a0lw0000008semBAAQ","00120000012CbhUAAS","IDFC Equity Fund Plan A- G","a31w00000001xDcAAI",""
"a0lw0000008semEAAQ","00120000012CbhUAAS","BSL Dividend Yield Plus","a31w00000001xDZAAY",""
"a0lw0000008semFAAQ","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xDYAAY",""
"a0lw0000008semGAAQ","00120000012CbhUAAS","Pramerica Equity","a31w00000001xDXAAY",""
"a0lw0000008semHAAQ","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xDWAAY",""
"a0lw0000008semIAAQ","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xDVAAY",""
"a0lw0000008semJAAQ","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xDUAAY",""
"a0lw0000008semKAAQ","00120000012CbhUAAS","BSL Dividend Yield Plus","a31w00000001xDTAAY",""
