"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005ROAAY","PRD-007706","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Medium Term Opportunities"
"a342000000005RPAAY","PRD-007707","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Mid-Cap Opportunities"
"a342000000005RQAAY","PRD-007708","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Premier Multi Cap"
"a342000000005QHAAY","PRD-007637","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Long Term Adv"
"a342000000005QIAAY","PRD-007638","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Small and Midcap Fund"
"a342000000005QJAAY","PRD-007639","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Special Situations"
"a342000000005QKAAY","PRD-007640","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Sun Life Top 100"
"a342000000005QLAAY","PRD-007641","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Dynamic Bond Fund [Less than 5 crore]"
"a342000000005QMAAY","PRD-007642","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Dynamic Bond Fund [more than 5 crore]"
"a342000000005QNAAY","PRD-007643","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Savings  Fund - Insti Plan"
"a342000000005QOAAY","PRD-007644","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Savings  Fund - Retail Plan"
"a342000000005QPAAY","PRD-007645","01220000000638OAAQ","a33200000000BbDAAU","true","Mutual Fund","Birla Dividend Yield Plus Fund"
"a342000000005RRAAY","PRD-007709","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Prudence"
"a342000000005RSAAY","PRD-007710","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Taxsaver"
"a342000000005RXAAY","PRD-007715","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI Flexi Income Fund"
"a342000000005RTAAY","PRD-007711","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Top 200"
