ID	NAME	IS_ACTIVE__C	PRODUCTTYPE__C	PRODUCT_NAME__C
a342000000005TeAAI	PRD-007846	true	Mutual Fund	L & T Equity
a342000000005TfAAI	PRD-007847	true	Mutual Fund	L & T FMP
a342000000005TgAAI	PRD-007848	true	Mutual Fund	L & T India Special Situations Fund
a342000000005ThAAI	PRD-007849	true	Mutual Fund	L & T Indo Asia
a342000000005TiAAI	PRD-007850	true	Mutual Fund	L & T Tax Advantage
a342000000005T1AAI	PRD-007807	true	Mutual Fund	L&T Equity Fund
a342000000005T2AAI	PRD-007808	true	Mutual Fund	L&T Flexi Bond
a342000000005T3AAI	PRD-007809	true	Mutual Fund	L&T India Large Cap Fund
a342000000005T4AAI	PRD-007810	true	Mutual Fund	L&T Tax Advantage Fund
a3420000000033EAAQ	PRD-000010	false	General Insurance	Optima Restore Individual
a342000000005RnAAI	PRD-007731	true	Mutual Fund	Pramerica Credit Opportunities Fund
a342000000005RoAAI	PRD-007732	true	Mutual Fund	Pramerica Equity Fund
a342000000005RpAAI	PRD-007733	true	Mutual Fund	Pramerica Short Term Income Fund
a342000000005RqAAI	PRD-007734	true	Mutual Fund	Pramerica Ultra Short Term Bond Fund
a342000000005SeAAI	PRD-007784	true	Mutual Fund	Premium persoanl Guard
a342000000005SfAAI	PRD-007785	true	General Insurance	Preventive Health Care
a342000000005T0AAI	PRD-007806	true	Mutual Fund	Principal Income Short-term
a342000000005TjAAI	PRD-007851	true	Mutual Fund	Principal Large Cap
a342000000005TkAAI	PRD-007852	true	Mutual Fund	Principal Tax Savings
a342000000005TlAAI	PRD-007853	true	Mutual Fund	Reliance Banking
a342000000005TmAAI	PRD-007854	true	Mutual Fund	Reliance Dual Advantage FTF
a342000000005S0AAI	PRD-007744	true	Mutual Fund	Reliance Dynamic Bond
a342000000005RrAAI	PRD-007735	true	Mutual Fund	Reliance Dynamic Bond Fund
a342000000005RsAAI	PRD-007736	true	Mutual Fund	Reliance Equity Opportunities Fund - Retail Plan (G)
a342000000005RtAAI	PRD-007737	true	Mutual Fund	Reliance Gold Savings Fund
a342000000005RuAAI	PRD-007738	true	Mutual Fund	Reliance Growth Fund - Retail Plan
a342000000005TnAAI	PRD-007855	true	Mutual Fund	Reliance Infrastructure
a342000000005RvAAI	PRD-007739	true	Mutual Fund	Reliance Liquid Fund - Cash Plan
a342000000005ToAAI	PRD-007856	true	Mutual Fund	Reliance Liquid Treasury Institutional
a342000000005S1AAI	PRD-007745	true	Mutual Fund	Reliance Long Term Equity
a342000000005RwAAI	PRD-007740	true	Mutual Fund	Reliance Money Manager Fund - Retail Plan
a342000000005RxAAI	PRD-007741	true	Mutual Fund	Reliance Monthly Income Plan
a342000000005S2AAI	PRD-007746	true	Mutual Fund	Reliance Regular Savings Equity
a342000000005TpAAI	PRD-007857	true	Mutual Fund	Reliance Regular Savings Fund
a342000000005RyAAI	PRD-007742	true	Mutual Fund	Reliance Regular Savings Fund - Debt Option - Retail Plan
a342000000005S3AAI	PRD-007747	true	Mutual Fund	Reliance Short-term
a342000000005TqAAI	PRD-007858	true	Mutual Fund	Reliance Small Cap
a342000000005S4AAI	PRD-007748	true	Mutual Fund	Reliance Tax Saver
a342000000005RzAAI	PRD-007743	true	Mutual Fund	Reliance Tax Saver (ELSS) Fund
a342000000005S5AAI	PRD-007749	true	Mutual Fund	Reliance Vision
a342000000005SwAAI	PRD-007802	true	Mutual Fund	Religare Invesco Mid Cap
a342000000005SxAAI	PRD-007803	true	Mutual Fund	Religare Invesco Tax Plan
a342000000003wZAAQ	PRD-003033	true	Base Product	Risk Planning
a342000000005TrAAI	PRD-007859	true	Mutual Fund	Savings Account
a34200000000339AAA	PRD-000005	true	Mutual Fund	SBI BLUE CHIP FUND
a342000000005S6AAI	PRD-007750	true	Mutual Fund	SBI Dynamic Bond Fund
a342000000005S7AAI	PRD-007751	true	Mutual Fund	SBI Emerging Businesses Fund - Regular Plan - G
a342000000005S9AAI	PRD-007753	true	Mutual Fund	SBI Magnum Contra
a342000000005SAAAY	PRD-007754	true	Mutual Fund	SBI Magnum Equity
a34200000000338AAA	PRD-000004	true	Mutual Fund	SBI Magnum Tax Gain
a342000000005SBAAY	PRD-007755	true	Mutual Fund	SBI Short Term Ret
a342000000003weAAA	PRD-003034	true	Base Product	Starter Financial Planning
a342000000005SEAAY	PRD-007758	true	Mutual Fund	Sundaram Growth
a342000000005SCAAY	PRD-007756	true	Mutual Fund	Sundaram Select Focus
a342000000005SDAAY	PRD-007757	true	Mutual Fund	Sundaram Select Mid Cap
a342000000005SpAAI	PRD-007795	true	Mutual Fund	Tata Balanced
a342000000005SqAAI	PRD-007796	true	Mutual Fund	Tata Contra
a342000000005SrAAI	PRD-007797	true	Mutual Fund	Tata Equity oppurtunities
a342000000005SsAAI	PRD-007798	true	Mutual Fund	Tata Equity PE
a342000000005StAAI	PRD-007799	true	Mutual Fund	Tata Income
a342000000005SuAAI	PRD-007800	true	Mutual Fund	Tata Mid Cap
a342000000005SvAAI	PRD-007801	true	Mutual Fund	Tata Pure Equity
a342000000003x3AAA	PRD-003040	true	Value Added Services	Tax Planning
a342000000005QnAAI	PRD-007669	true	Mutual Fund	Templeton India Equity Income Fund
a342000000005TsAAI	PRD-007860	true	Mutual Fund	Templeton India FMP
a342000000005QrAAI	PRD-007673	true	Mutual Fund	Templeton India Growth
a342000000005QoAAI	PRD-007670	true	Mutual Fund	Templeton India Growth Fund
a342000000005TtAAI	PRD-007861	true	Mutual Fund	Templeton India Income Opportunities
a342000000005QsAAI	PRD-007674	true	Mutual Fund	Templeton India Short Term  Income
a342000000005QpAAI	PRD-007671	true	Mutual Fund	Templeton India Short Term Income Plan
a342000000005QtAAI	PRD-007675	true	Mutual Fund	Templeton India Short-term Income Ret
a342000000005QqAAI	PRD-007672	true	Mutual Fund	Templeton India Treasury Management Account - Regular Plan
a342000000005PmAAI	PRD-007614	false		Test Product
a342000000005PrAAI	PRD-007615	true		Test Product 2 -19 June
a342000000005SgAAI	PRD-007786	true	Mutual Fund	Top Up Policy with Rs.4,00,000 deductible
a342000000005ShAAI	PRD-007787	true	Mutual Fund	UTI  Equity
a342000000005SiAAI	PRD-007788	true	Mutual Fund	UTI Dividend Yield
a342000000005SjAAI	PRD-007789	true	Mutual Fund	UTI Dynamic Bond
a342000000005TuAAI	PRD-007862	true	Mutual Fund	UTI Gold
a342000000005SkAAI	PRD-007790	true	Mutual Fund	UTI Master Plus 91
a342000000005SlAAI	PRD-007791	true	Mutual Fund	UTI Master Share
a342000000005SmAAI	PRD-007792	true	Mutual Fund	UTI Opportunities
a342000000005SnAAI	PRD-007793	true	Mutual Fund	UTI Short-term Income Regular
a342000000005SoAAI	PRD-007794	true	Mutual Fund	UTI TOP 100
a342000000003wtAAA	PRD-003037	true	Value Added Services	Will Writing
